,Date,Steps
0,2024-09-02,0
1,2024-09-03,0
2,2024-09-04,0
3,2024-09-05,0
4,2024-09-06,0
5,2024-09-07,0
6,2024-09-08,0
7,2024-09-09,2554
8,2024-09-10,7226
9,2024-09-11,6281
10,2024-09-12,12957
11,2024-09-13,4324
12,2024-09-14,11003
13,2024-09-15,9364
14,2024-09-16,7159
15,2024-09-17,9570
16,2024-09-18,5033
17,2024-09-19,1169
18,2024-09-20,4514
19,2024-09-21,15771
20,2024-09-22,3923
21,2024-09-23,7663
22,2024-09-24,831
23,2024-09-25,5988
24,2024-09-26,4217
25,2024-09-27,958
26,2024-09-28,1916
27,2024-09-29,3246
28,2024-09-30,6381
29,2024-10-01,130
